,ecomm_name,name,src,price_1,price_2
76,devoto,Galletitas maría tripack Devoto 300 g,https://geant.vteximg.com.br/arquivos/ids/224132-250-250/745455.jpg?v=636771069625030000,88,
77,devoto,Galletita SOLAR Famosa 195 g,https://geant.vteximg.com.br/arquivos/ids/202958-250-250/744684.jpg?v=636377037384370000,89,
78,devoto,Galletitas BAGLEY Porteñitas 130 g,https://geant.vteximg.com.br/arquivos/ids/209499-250-250/744525.jpg?v=636439282422900000,44,
79,devoto,Galletitas LULU rellenas de Frutilla 115 g,https://geant.vteximg.com.br/arquivos/ids/202298-250-250/744431.jpg?v=636371955950530000,55,
80,devoto,Obleas chocolate bridge EL TRIGAL,https://geant.vteximg.com.br/arquivos/ids/329859-250-250/744131.jpg?v=638089707851800000,115,
81,devoto,Galletitas BRIDGE Bañadas Chocolate,https://geant.vteximg.com.br/arquivos/ids/329771-250-250/744065.jpg?v=638089572277630000,100,
82,devoto,Galletitas María EL TRIGAL Rika 300 g,https://geant.vteximg.com.br/arquivos/ids/198952-250-250/744033-1.jpg?v=636344318421470000,130,
83,devoto,Galletitas María PRECIO LIDER 300 g,https://geant.vteximg.com.br/arquivos/ids/312743-250-250/660111.jpg?v=637910023741230000,83,
84,devoto,Galletitas bañadas PRECIO LÍDER 100 g,https://geant.vteximg.com.br/arquivos/ids/306508-250-250/660110.jpg?v=637877049186170000,83,
85,devoto,Galletitas surtidas PRECIO LÍDER 400 g,https://geant.vteximg.com.br/arquivos/ids/313965-250-250/345183.jpg?v=637921246207270000,98,
86,devoto,Galletitas surtidas variedad TERRABUSI 410 g,https://geant.vteximg.com.br/arquivos/ids/296384-250-250/662896.jpg?v=637822806472830000,140,
87,devoto,Galletitas pepas PEKELINO 150g,https://geant.vteximg.com.br/arquivos/ids/319070-250-250/663054.jpg?v=637980685155430000,35,
88,devoto,Galletitas BON O BON rellenas chocolate,https://geant.vteximg.com.br/arquivos/ids/258845-250-250/662333.jpg?v=637357677383430000,85,
89,devoto,Galletitas LULU rellenas chantilly 115 g,https://geant.vteximg.com.br/arquivos/ids/216082-250-250/744376.jpg?v=636595744628900000,55,
90,devoto,Oblea chocolate ARCOR 108 g,https://geant.vteximg.com.br/arquivos/ids/217188-250-250/742948.jpg?v=636618975751500000,30,
91,devoto,Galletitas TERRABUSI con Chips Pepitos 354 g,https://geant.vteximg.com.br/arquivos/ids/202966-250-250/746335.jpg?v=636377037655130000,196,
92,devoto,Galletita María FAMOSA 300 g,https://geant.vteximg.com.br/arquivos/ids/202965-250-250/745011.jpg?v=636377037625700000,110,
93,devoto,Galletitas Suspiros ARCOR clásica,https://geant.vteximg.com.br/arquivos/ids/202963-250-250/744814.jpg?v=636377037561600000,57,
94,devoto,Galletitas Mini OREO 50 g,https://geant.vteximg.com.br/arquivos/ids/195138-250-250/742639.jpg?v=636312999361800000,31,
95,devoto,Galletita EL TRIGAL de coco 200 g,https://geant.vteximg.com.br/arquivos/ids/282283-250-250/742163.jpg?v=637659297682600000,113,
96,devoto,Galleta EL TRIGAL miel 200 g,https://geant.vteximg.com.br/arquivos/ids/282282-250-250/742155.jpg?v=637659297375770000,113,
97,devoto,Galletitas Dulces Frutigran Chips Chocolate 255 g,https://geant.vteximg.com.br/arquivos/ids/198930-250-250/740332-1.jpg?v=636344317577400000,116,
98,devoto,Galletitas dulces EL TRIGAL surtidas 300 g,https://geant.vteximg.com.br/arquivos/ids/198916-250-250/740024-1.jpg?v=636344317056730000,128,
99,devoto,Galletitas Mini Oreo 150 g,https://geant.vteximg.com.br/arquivos/ids/202900-250-250/669296.jpg?v=636377035049130000,85,
100,devoto,Obleas Playeras frutilla 80 g,https://geant.vteximg.com.br/arquivos/ids/316406-250-250/660629.jpg?v=637952126536230000,32,
101,devoto,Obleas rellenas chocolate PRECIO LÍDER 140 g,https://geant.vteximg.com.br/arquivos/ids/306507-250-250/660106.jpg?v=637877047356600000,91,
102,devoto,Galletitas cookies 9 DE ORO con chips 120 g,https://geant.vteximg.com.br/arquivos/ids/290843-250-250/662978.jpg?v=637735519632630000,63,
103,devoto,Galletitas TERRABUSI con chips chocolate 144 g,https://geant.vteximg.com.br/arquivos/ids/290845-250-250/663056.jpg?v=637735521923200000,55,
104,devoto,Galletita mini EL TRIGAL coco 100 g,https://geant.vteximg.com.br/arquivos/ids/319074-250-250/669639.jpg?v=637980686733100000,61,
105,devoto,Galletita Maria MOSMANN 170 g,https://geant.vteximg.com.br/arquivos/ids/252933-250-250/662278.jpg?v=637291395710430000,40,
106,devoto,Galletitas surtidas DOS EN UNO 400 g,https://geant.vteximg.com.br/arquivos/ids/246223-250-250/662125.jpg?v=637194610185200000,87,
107,devoto,Galletas dulces EL TRIGAL sin azúcar naranja 150 g,https://geant.vteximg.com.br/arquivos/ids/296938-250-250/661986.jpg?v=637832047364870000,113,
108,devoto,Waffers GULLÓN sin azúcar vainilla 70 g,https://geant.vteximg.com.br/arquivos/ids/295163-250-250/661281.jpg?v=637804419643830000,78,
109,devoto,Galletas dulces EL TRIGAL sin azúcar chocolate 150 g,https://geant.vteximg.com.br/arquivos/ids/296951-250-250/740336.jpg?v=637832059837300000,113,
110,devoto,Galletitas GULLÓN fibra integral sin azúcar 170 g,https://geant.vteximg.com.br/arquivos/ids/216659-250-250/661277.jpg?v=636602644023330000,153,
111,devoto,Galletitas LIA Surtidas 400 g,https://geant.vteximg.com.br/arquivos/ids/293602-250-250/744941.jpg?v=637783083410600000,90,
112,devoto,Galletitas MANA Rellenas Limón 165 g,https://geant.vteximg.com.br/arquivos/ids/210153-250-250/744391.jpg?v=636449557193030000,54,
113,devoto,Galletitas Dulces FRUTIGRAN Avena y Pasas 250 g,https://geant.vteximg.com.br/arquivos/ids/198944-250-250/742865-1.jpg?v=636344318148330000,116,
114,devoto,Galletas dulces EL TRIGAL sin azúcar 150 g,https://geant.vteximg.com.br/arquivos/ids/279044-250-250/742552.jpg?v=637625727077700000,113,
115,devoto,Barquillos LA MALLORQUINA 200 g,https://geant.vteximg.com.br/arquivos/ids/265179-250-250/742529.jpg?v=637418346128900000,161,
116,devoto,Galletas 9 DE ORO Azucaradas 210 g,https://geant.vteximg.com.br/arquivos/ids/193697-250-250/742196.jpg?v=636304563183830000,56,
117,devoto,Galletitas Pepas Futuro 170 g,https://geant.vteximg.com.br/arquivos/ids/194939-250-250/669862_1.jpg?v=636312992143300000,44,
118,devoto,Galletita SOLAR Famosa Coco 195 g,https://geant.vteximg.com.br/arquivos/ids/202908-250-250/669472.jpg?v=636377035349600000,89,
119,devoto,Galletas 9 DE ORO Agridulces 420 g,https://geant.vteximg.com.br/arquivos/ids/193259-250-250/619940.jpg?v=636304547958930000,108,
120,devoto,Galletitas LULU Exquisitas 280 g,https://geant.vteximg.com.br/arquivos/ids/202770-250-250/511960.jpg?v=636377029258630000,99,
121,devoto,Obleas Chiquilin 80 g,https://geant.vteximg.com.br/arquivos/ids/316408-250-250/660631.jpg?v=637952127130670000,32,
122,devoto,Obleas Playeras vainilla 80 g,https://geant.vteximg.com.br/arquivos/ids/316407-250-250/660630.jpg?v=637952126835430000,32,
123,devoto,Galletitas María MAESTRO CUBANO 345 g,https://geant.vteximg.com.br/arquivos/ids/312858-250-250/665168.jpg?v=637910735629270000,146,
124,devoto,Palitos CORY chocolate blanco 90 g,https://geant.vteximg.com.br/arquivos/ids/294228-250-250/744719.jpg?v=637794016039230000,35,
125,devoto,Galletitas cookies 9 DE ORO chips colores 120 g,https://geant.vteximg.com.br/arquivos/ids/290842-250-250/662977.jpg?v=637735518698630000,63,
126,devoto,Galletitas cookies 9 DE ORO chocolate blanco 120 g,https://geant.vteximg.com.br/arquivos/ids/290841-250-250/662966.jpg?v=637735517988930000,63,
127,devoto,Galletitas TORTINI chocolate 90 g,https://geant.vteximg.com.br/arquivos/ids/284590-250-250/662965.jpg?v=637679149444500000,32,
128,devoto,Galletitas TORTINI frutilla 90 g,https://geant.vteximg.com.br/arquivos/ids/284589-250-250/662964.jpg?v=637679148923900000,32,
